Security Code & Security Name	ISIN Code	Date Listed	Market	Industrial Group	CFICode	Remarks
2329¡@OSE	TW0002329000	1994/04/20	TWSE LISTED	Semiconductor Industry	ESVUFR	
2330¡@TSMC	TW0002330008	1994/09/05	TWSE LISTED	Semiconductor Industry	ESVUFR	
2331¡@ECS	TW0002331006	1994/09/21	TWSE LISTED	Computer and Peripheral Equipm	ESVUFR	
2332¡@D-LINK	TW0002332004	1994/10/17	TWSE LISTED	Communications and Internet	ESVUFR	
2337¡@MACRONIX	TW0002337003	1995/03/15	TWSE LISTED	Semiconductor Industry	ESVUFR	
2338¡@TMC	TW0002338001	1995/04/17	TWSE LISTED	Semiconductor Industry	ESVUFR	
2340¡@OPTOTECH	TW0002340007	1995/05/02	TWSE LISTED	Optoelectronic Industry	ESVUFR	
2342¡@MVI	TW0002342003	1995/09/19	TWSE LISTED	Semiconductor Industry	ESVUFR	
2344¡@WEC	TW0002344009	1995/10/18	TWSE LISTED	Semiconductor Industry	ESVUFR	
2345¡@ACCTON	TW0002345006	1995/11/15	TWSE LISTED	Communications and Internet	ESVUFR	
2347¡@SYNNEX	TW0002347002	1995/12/13	TWSE LISTED	Electronic Products Distributi	ESVUFR	
